delegator,voting_power
evmos1qakka4hcxkghh4vr3uxnncq0hdmlpvqzqrx39r,3555060892967925.000000000000000000
evmos1qgfz98a3en0zyuzc2dwqph8gktqdwr5f9z4ur3,35474439591179565729.000000000000000000
evmos1qdnkfxdpx6t28vzfyzyh9qfv2aksfjsegzd420,353860000000000000000.000000000000000000
evmos1qv3xfnk09fwx6y8cwecn5mesys8j5zq0adkch4,32496662092617209173.000000000000000000
evmos1prl7s935y2fvehq6zyc76mljegxp5l5lu08hd0,31790000000000000000.000000000000000000
evmos1pyg34y3vuemcfmzm7cpwh4xsh4j3qlcthkxza2,30047638319431949317.000000000000000000
evmos1qdavg7ye9c3ngraagy20yxy5xqmezccqlvq980,30000000000000000000.000000000000000000
evmos1qq2t4k7ntezgjwdy4meaycfs6zska5xzt0ehfq,30000000000000000000.000000000000000000
evmos1q68k4ja6x4spemkv4y6y6segjvzvj0asr6h6wv,3000000000000000000.000000000000000000
evmos1q48p2l97ys7c5cfe5dctu7ypn4rzl7j7xs66wp,29000000000000000000.000000000000000000
evmos1q345keckvy6cm0n2a6pdu78vhf92slh8cgajsw,288000000000000000000.000000000000000000
evmos1qp32huxd5yu80as5lgyn0svavzmepu9vn95962,28793059305172093219.000000000000000000
evmos1qzqf99l83tmmnl6l0c4amnm54pvga0ft0j3rcv,274168798719569265061.000000000000000000
evmos1q4l64k4yfmtprgskxukweajwtn3zrc57a94y5r,26000000000000000000.000000000000000000
evmos1q4juf7mhm87sgd4qszg92l6ncz2dc9hwfsap2p,251010000000000000000.000000000000000000
evmos1q8dzc090cjcfcx43f8yvtfj7ujkmkwxjqkl3tg,251000000000000000000.000000000000000000
evmos1ppezev5lepjxve9scm2y3yjnv5d7zu364wmaku,2500000000000000000.000000000000000000
evmos1q6mwr24q6srg78rjvvsrcgqhqwd8tgmy4tm2ts,241000000000000000000.000000000000000000
evmos1pfunrfaa3wqm4w76rjec2rku3kaw2nhwwp9amr,229042539453531807622.000000000000000000
evmos1qtxkqkzxe3kh3ywrhljyjpa3d7srlm8pfsf8de,220000000000000000000.000000000000000000
evmos1qhmhlu95fc6yf2n2y3zuvdqyk5ps5zu6hwjp8t,20506463524918405017.000000000000000000
evmos1q4afm94umegwepxlwcckhnxx9eksvd9ndkhqzl,20456227448440674665.000000000000000000
evmos1pypk052fylzx36s5juqmg6csc6mkf2nez066f2,203274712007858079999.000000000000000000
evmos1qef6vd809fa83y42x9tq6p5fvy5j7cwj6n705z,200191546105330841571.000000000000000000
evmos1ql4ymq5xr9pe2stctuuympur0mjk87m8nvjwye,200000000558057654389.000000000000000000
evmos1q5drryxfxs3pr6e3zu3mywuv0j7hkkja38xxhu,20000000000000000000.000000000000000000
evmos1ptna09aqg06dkasqdw7l85xgdjtrgfwskums9e,20000000000000000000.000000000000000000
evmos1p9l2h7nmgeg2d6ce0ygkdvmpzpsjvgltccft8g,200000000000000000.000000000000000000
evmos1pt7k3rw97nn88qns56wfkhv6350duz7n9wd9fm,19000000000000000000.000000000000000000
evmos1q2m5r505q0ng76863a5tey9y9adywsv8sw0c8q,189222345000210340326.000000000000000000
evmos1qc32zp4k050p9dj3qzkm8pnsgqev8yuzdqmdxm,186674964386209913799.000000000000000000
evmos1qrz7v7jnqdrxvjlt93mckmp9e7tjfdtwc5sjaf,18409294091106120007.000000000000000000
evmos1q2smcn3lsvsn67fzysw49er45j9708n0sf3e90,170223592066497540.000000000000000000
evmos1qr5xahf72wg3ns2mvv7wn8rcvzt2d0ncdc98tg,169643773600000000000.000000000000000000
evmos1p2r5xfq0gennjv5m9rj32pc6gtz4zxuz68tgep,158594751229618757281.000000000000000000
evmos1q80d8mj28v9z9y80e9uswptkgmprwp7j2u06s0,1505500000000000000000.000000000000000000
evmos1qrrzjaegdqf0xkvqtf6plpgvftktugkgzgnqmm,15000000000000000000.000000000000000000
evmos1q26f8rtqx3g074spx35n0dh2e8xe0nmqj44c5s,1452069625895547994600.000000000000000000
evmos1q63uve0k2xlevhnwhk5qvxny2yzhg4nqz3xsjh,1400000000000000000000.000000000000000000
evmos1qlmmd4uh6ergtalrs8mdq03r3jg4je55r8wtke,1400000000000000.000000000000000000
evmos1qwsuvsm55g2lqnryxv58qpynwzn2e6apv80lds,139800000000000000000.000000000000000000
evmos1qah5x658059stlawjw2vn4xq4da2avdm8cwa7k,13000000000000000000.000000000000000000
evmos1q8ua0dvkhmkp0uegu2yrjsyck7wdwuekargsuf,12954670940318728574.000000000000000000
evmos1qallfvfjq2zshuhhszwwxzzjm3m7wcx0uus7g9,125000000000000000000.000000000000000000
evmos1qy2wk3hsaxlg9n82crrntvtx5wr56e9kh997ct,1250000000000000.000000000000000000
evmos1pq9wz0q3dx4eu0tpjhehcpzs5hy5vsrm8u8hlj,1218440000000000000000.000000000000000000
evmos1qnf9rnpuf7ujjyfc8wl337n3vuaa779uxrkz6g,12000000000000000000.000000000000000000
evmos1p98fkpjssegn64axhj94435x72hjqt4cgu3mep,12000000000000000000.000000000000000000
evmos1q7pr8rfkv84cm7rf28k7399hc273tr6nslsnm3,1174569277120823640790.000000000000000000
evmos1py5t6e8neztxvrq0xt5ep0pq8jhnvzs2ah9he4,11000000000000000000.000000000000000000
evmos1p98636w7jsjghjlsmv35ydfrs0mgnarhm8up5v,1020781033545487450.000000000000000000
evmos1q2ewj6htkn30nkwzwplw2ha6lt9mdw8vp450uu,101000000000000000000.000000000000000000
evmos1qaauhuwnpe27nma6qewx20u49tn3w93e6cmgpn,100000000000000000000.000000000000000000
evmos1qqy956u9k908567f7n6wjda6zuyatlzhfuhlmg,100000000000000000000.000000000000000000
evmos1qesdpf3xk2nr6ql2cgf8s94kashq2u43rvjaqz,10000000000000000000.000000000000000000
evmos1qxerlrx8l0cs0v8nn2st5lqhawhmt4scmwz2p0,1000000000000000000.000000000000000000
evmos1pqjflw2l5l5hswxrqp59c7fz865ccxv6yj0efq,1000000000000000000.000000000000000000
evmos1qwahzuhm7lkvwvhdw6ypqn5x4u7r8mf3w3zs2w,1000000000000000000.000000000000000000
evmos1q7n0mgnc2kwe0mdsyzad6t3h9guaply3geya6u,10000000000000000.000000000000000000
evmos1q5nvzs5jhu8t4zqxdlfdajetgewekmwe8ez0n0,10000000000000000.000000000000000000
evmos1pg24qqypyndpd28ztx4aa6es5vjyy65um70lgh,1000000000000000.000000000000000000
evmos1f3uj7ywcf73enc3hy8wtyzsh7ppvhn6yx0lwq9,9869700000000000000000.000000000000000000
evmos1vcvlkmrwr9kpj2zdq8q35fctln5z2vlh7psx3g,94594860757585200457.000000000000000000
evmos1tam9s0ecw74suv3w8m5ewsx9c8pa5nt7l6gkeg,87883635580174729217.000000000000000000
evmos10a7ksn46nt9zsgc3kkpcylvvy3h60dz7waymlk,8250000000000000000.000000000000000000
evmos1jgwzsm3glphgtq8lhyxpmv0gmex8ur4tzppa0h,8202174504679621.000000000000000000
evmos1hgsxyjg7s42zr0fyjw9qsvpfz07kxvg3v07kyt,817795345356630268344.000000000000000000
evmos1ql9tsdxrnlnhe9ns8vp45hjnvz6y9e8evglhlg,8000000000000000000.000000000000000000
evmos1fspud0mzm56z82nakv2m9ph55jqwa64gu34y7y,74343694431453240.000000000000000000
