delegator_acc,validator_acc,bonded_token
somm1zkhaxm7k2aw537dx493els7y984dg7pc7r2q9l,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1f9cz2nefyfr2c9wjvkyzkuddn7x5fjlhjvkptk,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1f5jw7e4rehj23epgqngtrqrkw392cwwe95jgmy,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1v779pqxnvamjv2fkvfn27dwkteljnvrcqal9ln,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9emxup8,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1rzyjrn5nxsendchcuafqklzgw9hk5dvg03cw6y,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1plxajyqwe97ghd4em2xgd39wzvr27aelh5kcw2,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1y7448p6gj99f0wwvj9z8g0ajka8094hhf3tl8d,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1x4vhnxkfrqvgq6ehftrtp5l0286gawvmsy82zq,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1p7ezph8q9v3evg3dq63qrep7p87tgxxurw4rap,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1830649ahmsntdtqm4633cpslt3qllrfpy62r38,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1gvsqfvq69rgaq8k80uydrggjhk9tcscsvj2xuf,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1rxakrn8x4gwc6wcrpttpz8htjfu43nswt7ftty,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1rn5daa82xlxn8ln24w49622wk90ykwkjzw884a,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1d76n9fmzkzwvpf6uqy86es009al0acn39up6hz,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm12mqgfxh25tqrl4xz39z0t67r4q024c7q7dmrr0,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1t4nupcw0hspl6xks29uff27e0jvk6zux2z2w08,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1tpvmj4dvrj66rw904ekal2m2jhwedqfhawv9qg,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm19ng9gamfwrjgswjx0k0vmk2z8kha453y97zqvc,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1vjfr6t0wmhkn4dftt8vp4nhjvnzphyzaw3qkgj,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm10z6mwcv78kmnj4lm74ce3zydrqwuh5qhnccrag,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1gcvdcw3v5mmrnxa96g5fdluvwrjuq4amus06va,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1wdmrtflx5w7nvcuy9ln2kffxj2gskexmp9hznu,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1rymfw64cg4ffkjy8ls8anv3622g4lcgthut0jn,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1v4p3lvawskszxjstkp9en5sq44z97jylh83vp9,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1tnzpvgzgq7uzfkv8vxmk9pw0zx6xlf6d7sajgw,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
