delegator,voting_power
somm1x5rmunevfr0cn3dypw86vp9r9c60zzlk8twpnr,15000000000.000000000000000000
somm1cu250hew4av2xake4rxmsv9hc3wyqfzj8724qd,150000000.000000000000000000
somm1rgxk34akfv34ekdeda59ax5a08pnu20rcx50l7,125000000.000000000000000000
somm1sjgcmslzl28jrjr0cuz0yng4lsu2x8uru0r8e8,125000000.000000000000000000
somm1zs04tjvc9alk9yqq3h27zczs75vp0n66wzafjx,1250000.000000000000000000
somm15rdhd6w996sfgx78ud6qvye9w04nn76eva4sjd,1107000000.000000000000000000
somm1rn27m7j7m4w7q5a4uk0zlak47u32ktydvn72c5,101000000.000000000000000000
somm1kluez4wellmkg9eneh5j4sjwz85kp9pc74wkh2,100000001.000000000000000000
somm10pqg8v7k2qllru3qtqx8vly6cv3rtx4alp9w2v,10000000000.000000000000000000
somm14c2zjf87ym5rkd0rx4meq8lnrncjgq8e2sqxly,100000000.000000000000000000
somm1u4g5vc0lhdatsa7ntkrhmp8gdeglt53lkh6qla,10000000.000000000000000000
somm1enz4x0szrqkxgygac948dyxdfvhwms24nhu5xd,10000000.000000000000000000
somm1gu92w3wkwawq6q8epdsyce6x7q5gzvv5wqrzjq,1000000.000000000000000000
somm1cyuwneqwsj2z4knn8cdanea5xjuv5etgxykve9,1000000.000000000000000000
somm1mdwp6w6wfx6fjs7tmn7v3egtw4suaunstydqzt,100000.000000000000000000
somm10t8lusgdjqfnn9z2ea085mah9u65h839ecu29r,9900009.000000000000000000
somm15nv6t6v0g23tpylxdu6n5chj3pd28rlyn5lvkn,800000.000000000000000000
somm1hnanukpm3rjdmu4ezdmqxmwlsthhks3r0kpncx,70703112.000000000000000000
somm197v8ex70ctx63teqhfe0j8lhhw5rmjqtzl52ah,69142988.000000000000000000
somm1krjmn29srd60xnz34zfjlwpl5n5uxnvjy94pqp,55100000.000000000000000000
somm1kv98xapa28s05x5exhupg3gzlfmkwfl32ye45r,525000000000.000000000000000000
somm1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9emxup8,5000005.000000000000000000
somm12wdcv2lm6uhyh5f6ytjvh2nlkukrmkdkc2h3m6,50000000.000000000000000000
somm14nenrkrrxm6jjqp7rue7rxuzwngkmw86jgc80d,50000000.000000000000000000
somm18l07sx5mu76ntk7assa0uy4kz8ucaw82k2hfhe,5000000.000000000000000000
somm1dz5f2ku92v96a46wceyperddsl92ya6x8etegd,5000000.000000000000000000
somm1jyuf6uvw7sd6azncyjd9yldej6t0c25a29k4gk,500000.000000000000000000
somm1eyu7a2uahgdp9jlm5vulu5hs0xcyp4wzmvhg6v,50000.000000000000000000
somm1l2scvs2wve6lfz2ujgvrlkrsnw6g68dx6y0ykw,3750000000.000000000000000000
somm1ftkdaf64j80fvdxc93n489djm0hd38307sz82j,35000000.000000000000000000
somm1n29qfg6wegxqnn92upjj0ulwlqfjj4yqjydd0d,333.000000000000000000
somm1va2dv56w6x6t3qhxf9ctrhs3gz2cjcwmq8tgfy,30573096.000000000000000000
somm103rqha0kps4kl9wr0lzqcjahfp3p6d5u52dgne,30000000.000000000000000000
somm1dpq7rg5nuc6ndepqj8apn386cgfqlr668ved78,3000000.000000000000000000
somm1px2q40q3twagt23d4jc7nwdu2kdw59dhu7nzq4,2608834.000000000000000000
somm17dsway8g6zk9uqvtnxqv9y234wmd503ygmqdnj,260000000.000000000000000000
somm1h2jj5ntx2k7lnd4vdfap9cmtsp2tv0ayx9rm6h,25000000.000000000000000000
somm1c5ut67tkpf5wqvdfuevna642mkp2kk452vf25e,2500000.000000000000000000
somm1ljd6d8quzfn4zev99unxnz5x89frev3vngu9lr,223449118.000000000000000000
somm1as22d4fv5s25jn3ud0ctu2keksgruhmdpj60vj,200000000000.000000000000000000
somm1a5ps8qwvvy2ejzvy80uz03q06ughcyqenzt26u,200000000.000000000000000000
somm1ndkgwj86py6ylvff4pvtj6tmsrafzzgztqqwyv,2000000.000000000000000000
somm14k49wx0fyc2m28v6trc87sern6u3a9sykjc6jp,200000.000000000000000000
somm1wxuyhxp5jke9jp4c6x6uhdc795uaxc5heksnwf,1647935.000000000000000000
somm1dsy2kdv86s3dqnn76lhe39uf6ggafkun9nqe6p,15000000.000000000000000000
somm1sr705f4e5ah67v5lduevfw3cs9m9u9v0nk83y2,14000000.000000000000000000
