delegator_acc,validator_acc,bonded_token
juno1xjyh7r7mxfz76ud2yxfvry5pg2ulw70ksuttzy,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1q0wnsuphm8vjgu9vesxcu9veyqksyck6xl5k8q,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno15yaeseumls6jy7jrxdl8ef2cl9yufd0yr489ns,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1uk8yuwgafup8xgvqknz3q9zwp0sgaeyjuh7v3f,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno166ezyf83skrzufjpe396qqzw8ht43f66j03nm3,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1p75yktqnyx8w80xmeccdarcy2mypnka38wlyy9,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1yg0fa6aa8npeyweedzct2z0qsj0q7xypntphd2,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno19jtn9xx65x5q5z5d5k2egkk2h25a9pqfcznpr3,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1t2j58qpfltwvfqyffudhrl3y9pa08t6qaxfyuj,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno167rgdr79cr4cdju39kvghv0wdl2znx4ll6tte4,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1469ytx60hp69myd2cq53gu0cs7ttvlcmf5lpxp,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1trke0jkyzaxjsep2qyya0d4k0jeeem8yjxr4lm,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1gzjv94ld06vxf0mwxd4qycau24aeag9d6z7p5t,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1t756fal0y63cdh5ly3lujj09s4lvqjnygdwsus,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1t607a73568zp4497w4raz82hunlkag6n6gtfww,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1zhwy4a44jal3jqsg7exeq79q75m0trfeffrz9d,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno16swpld4tsz5y2dachz05gn02wglyx00vczqjph,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1myyc0krwqjjgqa5fa8n5kjt4dquzlk2zelxn0e,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno14ux7ufwa7hjxl30sd7wfv7ka80nx3c7xa3vx46,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1h2tn29cx739u4qj83zhr7tlextvu40mgmu0425,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno148vlya0l6gnvd66j4kzpla60fghzk9muk9rug9,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1m0gfjfnty5phx0hgw3u2fufs5c02w5h2tdwh2r,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1xkw3h0gvh654fpcwj0cg0ll95ykl3p9gwn77uj,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1m0m8ve9v965jl4pt3tfhs7yucyckuml5ydp3ch,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1shlsshaq7tu6yastu3kalkmewwuca24l0hqq4h,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1yrakn089qypz9335vvrjv9h7zyevjhksvs9qfq,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1rxm6czp02e64zq4cxcrhqextp5khz426k6fhqa,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1ruw5lwc6gwavg7pvtyrap6883tycgkmh9uejp6,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1ax7nplm3jegg4z5ayfjkamrfh4a4e8pwzy8sg8,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
