delegator,voting_power
juno1xjyh7r7mxfz76ud2yxfvry5pg2ulw70ksuttzy,4674077.000000000000000000
juno1q0wnsuphm8vjgu9vesxcu9veyqksyck6xl5k8q,455179236.000000000000000000
juno15yaeseumls6jy7jrxdl8ef2cl9yufd0yr489ns,353646.000000000000000000
juno1uk8yuwgafup8xgvqknz3q9zwp0sgaeyjuh7v3f,3500000.000000000000000000
juno166ezyf83skrzufjpe396qqzw8ht43f66j03nm3,30800124.000000000000000000
juno1p75yktqnyx8w80xmeccdarcy2mypnka38wlyy9,3044058871.000000000000000000
juno1yg0fa6aa8npeyweedzct2z0qsj0q7xypntphd2,30440000.000000000000000000
juno19jtn9xx65x5q5z5d5k2egkk2h25a9pqfcznpr3,30086229.000000000000000000
juno1t2j58qpfltwvfqyffudhrl3y9pa08t6qaxfyuj,3000000.000000000000000000
juno167rgdr79cr4cdju39kvghv0wdl2znx4ll6tte4,3000000.000000000000000000
juno1469ytx60hp69myd2cq53gu0cs7ttvlcmf5lpxp,290000.000000000000000000
juno1trke0jkyzaxjsep2qyya0d4k0jeeem8yjxr4lm,267183.000000000000000000
juno1gzjv94ld06vxf0mwxd4qycau24aeag9d6z7p5t,25100008.000000000000000000
juno1t756fal0y63cdh5ly3lujj09s4lvqjnygdwsus,2500492.000000000000000000
juno1t607a73568zp4497w4raz82hunlkag6n6gtfww,250.000000000000000000
juno1zhwy4a44jal3jqsg7exeq79q75m0trfeffrz9d,22361567.000000000000000000
juno16swpld4tsz5y2dachz05gn02wglyx00vczqjph,20000000.000000000000000000
juno1myyc0krwqjjgqa5fa8n5kjt4dquzlk2zelxn0e,2000000.000000000000000000
juno14ux7ufwa7hjxl30sd7wfv7ka80nx3c7xa3vx46,200000.000000000000000000
juno1h2tn29cx739u4qj83zhr7tlextvu40mgmu0425,2000.000000000000000000
juno148vlya0l6gnvd66j4kzpla60fghzk9muk9rug9,2000.000000000000000000
juno1m0gfjfnty5phx0hgw3u2fufs5c02w5h2tdwh2r,2000.000000000000000000
juno1xkw3h0gvh654fpcwj0cg0ll95ykl3p9gwn77uj,2000.000000000000000000
juno1m0m8ve9v965jl4pt3tfhs7yucyckuml5ydp3ch,2000.000000000000000000
juno1shlsshaq7tu6yastu3kalkmewwuca24l0hqq4h,19349.000000000000000000
juno1yrakn089qypz9335vvrjv9h7zyevjhksvs9qfq,18200000.000000000000000000
juno1rxm6czp02e64zq4cxcrhqextp5khz426k6fhqa,18000000.000000000000000000
juno1ruw5lwc6gwavg7pvtyrap6883tycgkmh9uejp6,1600000.000000000000000000
juno1ax7nplm3jegg4z5ayfjkamrfh4a4e8pwzy8sg8,15327000.000000000000000000
juno1ddv9r72xctyxz8vkmrk7jk42ra37vzrkxs4mx2,1500000.000000000000000000
juno17jt3tnxk5nd2y8p4dtgjrvnxmgjdrjzrfhfj4v,146465.000000000000000000
juno13306hrp8e9y9z8lv5h2eccupffj8kw95f8kp5y,130000.000000000000000000
juno12dcengpnuf8860rqp66z5ckzeyedk2cv5l2rv3,120959.000000000000000000
juno1jqzek4ffezecjyjf0mlsegss4t26tdayqxl22z,119526.000000000000000000
juno1ukephqsyj2r3ffp305e649e9uyx760lsdn7d7s,1100000.000000000000000000
juno140f3wk98lsqdwmrnvjtjsu4kl3h5sgdcdstr0m,1100000.000000000000000000
juno18azymm36vrjelfa7x4jem43upwnaulmkyqpggl,1100000.000000000000000000
juno1vfe8xyxw7588f95u66863eg4u46ute8z5r36s8,1100000.000000000000000000
juno1wkck6lk2zpy4q8pxpk9g0vjuqvf0mtltk9p66z,11000.000000000000000000
juno130vfreld93ly82x0dpz5lnev3mxe08fqa620dc,1100.000000000000000000
juno15ptq8r3j90rltjkjj8y8cjhsrd5tdwfacxsr9y,1100.000000000000000000
juno1g04c9wtzhpgu4qwera6vedn5vshjkg6c5yemhy,1100.000000000000000000
juno16p2ax8cerp2kt2n5h4tzw5gxkhjfyxmggjhdm9,1100.000000000000000000
juno12np9xlep3w3psjdyda0q9jy9prtt5q8dlgr6ge,1100.000000000000000000
juno1pms29tut7zlxylyflqn55xgp23nrcmeh2t95y3,1100.000000000000000000
juno1ucufjh2n3ev2jhsga5yjsyz2ce98y3w0qaj7jg,1100.000000000000000000
juno1r99p5q4kh9rkmwlmk5mvsarvz9q6prhqlg7ukp,1100.000000000000000000
juno1rhhjvs3cym3lszzlyr7tc3893dc7tz4sqlh64p,1100.000000000000000000
juno1hv95rm6ludkrt704srq3hyal0gwtdjhvey9d99,1100.000000000000000000
juno1ehezapm5gmegglwy33hzwqp3dkrw7tx4grhpd9,107338.000000000000000000
juno1tcashe2jcwu4mlwql08ayrmv72dwanpzgd4xz6,105393750.000000000000000000
juno1qpl54cpzeny36vy9zz0utzf3ezm9y5qrava63u,105163.000000000000000000
juno1j4j4d3g6pq0kxulh8hk3cvkk438edjmsmm3wtv,103097.000000000000000000
juno1uy53vwfg78cf58rt7pl9696nqg20gp23jq0fch,101000.000000000000000000
juno1crstycq0t29zh3hrqsly3j58ajxlq2fhfc73tt,101000.000000000000000000
juno1emttlgxv5mgegj04m2uztmg3pd78a5mexl2dfl,101000.000000000000000000
juno1l8e96cxqcwupn3xhv5qhv6lmlwv69nmsrl9fmj,100003750.000000000000000000
juno194xl26sfnumzzk9ck9qvptua3hes6cm6dl0k2v,10000000.000000000000000000
juno1xkl6dvdd6f2mghcmkje2grjl0pjxe686pvz365,10000000.000000000000000000
juno1rwendfdpfuaelc2ygkf4u3zwctrdgrcl8x9g9l,1000000.000000000000000000
juno1vqun68xz03pj63njyqse09rmzjwkdj84vq7kcy,1000000.000000000000000000
juno1ea29eeyxaq7fgzd35uvt5rncywps3m753j0dhk,100000.000000000000000000
juno1vjhug424z9ge4knflfts5ht0w22fkdj4ae58ka,100000.000000000000000000
juno1550c0zq7yky2lxane8twg499jw9avlrcujt0kr,10000.000000000000000000
juno1m0f6wml3uj05z6k76ppz44qm0vksrwjs0ga9ns,1000.000000000000000000
juno1d6qx4eele30j5zv96t0ym0kpq66eleq4gc38sl,1000.000000000000000000
juno1n2lkydg5kz6zutl7guwjwgype3etu2x0qrjjfk,1000.000000000000000000
juno1938xr6xzgppt70tt8aaz842jxmuzffcx5gd0k8,1000.000000000000000000
juno17a69dmcp04ywjas0w86h6nynsd6xy3zp3crjdr,1000.000000000000000000
juno18kemdd0ml0xnl3vetlynaz038jqrwjwpj3wp0a,1000.000000000000000000
juno107qzpcecwt799rtwautmtgasrhtgfsuxch9803,1000.000000000000000000
juno1zyj8ctckz5ywa2exq9d6393swerzzftktl2jhl,1000.000000000000000000
juno1z5rnth3cax35qev7g904ldmctrvm56jv3ehsq8,1000.000000000000000000
juno1ulun07sd2tn7mn37jx422ju2tnpexdns3w097n,100.000000000000000000
juno12jh42r2ttvm7n02zrcn0wq452nzwsdk3ge03yj,100.000000000000000000
juno1ukm00kgx8u0fwvt8qshhflangylufnfx5v5wnv,100.000000000000000000
juno1hf8dsuqmp5amt55evkvjgqdsd0hsctpkwfs8r4,100.000000000000000000
juno1tgvpj78k2kqx7gy88uaz0g9m2h6zl04a9jlzhr,100.000000000000000000
juno1e095j7yayrj3du6sc4jhfgn97g5wefqc8vdkfy,100.000000000000000000
juno184gx5gvkcypjnd5dhpmypdn54z7g8ccr5rzpw2,1.000000000000000000
juno1p2ccst445sdduu40a8mne7tednvet5nlvta5t7,9772.000000000000000000
juno1yg850gkxgzpfu0lnejh72fzhvwqfc2gsr7d5qp,84694.000000000000000000
juno1pmyalvkpq2c7f42nu3pxfzp4jr2rskyms70wxd,8099999.000000000000000000
juno1f90nyyptfajz58m9sa9dygwajwuxkv835jhdzw,78100000.000000000000000000
juno1zln233z7xnasydvs5gkaehvux9clvq8yhnase8,754693.000000000000000000
juno1zqg753ll6zf85nzml67ure8zqqkpyvw8z59lnj,7500000.000000000000000000
juno1295xcdqn92pppmx9nz32yfz2wnq847w7cklypq,7386114.000000000000000000
juno186nc7f5790hy2klqa6e6vy8ts4x52vek4e9jgg,671073.000000000000000000
juno1gvnk03ngwrjkjtkr0xeextt0alxfqvychaa930,60400000.000000000000000000
juno1qfa6gexefdgk20axj5nulqwmtyzxn6gt3y50k2,600000.000000000000000000
juno1xm7lau0vas7elyxuyx9e6q4pg0uh3fwyd4qygm,5924382758.000000000000000000
juno19lee089lrxupf9k0jdkzxkx9q648eguq5y42uy,584858.000000000000000000
juno186s3ltqtq8mcdgdgyscat3ny9jgpscq9mehks4,57906669.000000000000000000
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,56360000000.000000000000000000
juno1ydfz3mr0m452ntk4t8cw2myefqm3sf3nekv66t,53239839.000000000000000000
juno1gxnxkt2ncrwlv5eeyxutlfvqgm2y94s89ydnmq,5000000.000000000000000000
juno1y6603qh08ttze6vaqr3ucmclq4xxj88xypjlhf,5000000.000000000000000000
juno1qmym34q2jl3t4zusmkpywcwnrzksph6t98793d,5000000.000000000000000000
juno1z757tc8nn7gdmew7vy6qxgxfk9wwtd4z9d9fzz,5000000.000000000000000000
juno1re7lrayhd7038a2dpfx93syvk3pf678w22u990,500000.000000000000000000
juno1gykeg20lkk3p9dlz07t8l0hy2agyxzexhn45ff,4500000.000000000000000000
juno1fwww5jarzaf02cghk4m3w7dfu0ae77waad9a9z,450000.000000000000000000
juno1y6ez4qz7ceu273pmflgmqjr2jfsvzshujdr4g0,42000000.000000000000000000
juno1p2nyqnh48jr28lkxsqhz3mul6e6aye0mlclsl8,41156467.000000000000000000
juno1y260g8wt9ldx6czj5f5mnxzrtvf00p89salgnp,4028305.000000000000000000
juno1ghv0wfy4vvfrlpxljjwz9wqqku2pn8enr262a9,400214.000000000000000000
juno12xj2k42lt87ygm3x8wmrtvf349lclfkgj0t40l,4000.000000000000000000
juno195hs2ea8wdew0gygllm6wjcmg0qwl68mfassn5,37755653.000000000000000000
juno1q2yv69d5f54z5zzvpy7g6ym2lvtc4pql5hja3u,33461248.000000000000000000
juno1frqct7wjcuyulaq9xmpdehfv7fhy6wa6hsregr,3297567.000000000000000000
juno1ywym5cvtxk5mpdg8f4h3lv0ef6v2qfh55nt2v3,31170.000000000000000000
juno1pg5e63n0smz24ag65cef9qleksu5r6ejw3n5w0,30000.000000000000000000
juno1p9fx8ku99nkdlu25r2hptpqmznve90ltxq0xcr,30000.000000000000000000
juno1gwfy3htyllpux7kt74e8lfnnwymh9x04rsh72q,30000.000000000000000000
juno1psrppsladrcz99700luxqlhu7un686qshgun57,3000.000000000000000000
